40,2.3769,2.3419,2.341,2.3811,2.355,2.3725,2.3529,2.3405,2.3292
35,2.2274,2.196,2.1947,2.2343,2.2118,2.2261,2.2095,2.1955,2.1847
30,2.0814,2.0534,2.051,2.0914,2.0695,2.0835,2.069,2.0529,2.0427
25,1.9391,1.9139,1.9117,1.9516,1.9289,1.9437,1.9316,1.9116,1.9032
20,1.7996,1.777,1.7744,1.8144,1.7903,1.806,1.7966,1.7724,1.7662
15,1.6622,1.6421,1.6393,1.6797,1.6538,1.6701,1.6636,1.6354,1.6311
10,1.527,1.5089,1.5061,1.5467,1.5193,1.5362,1.5324,1.5002,1.4975
5,1.393,1.3767,1.3739,1.4147,1.3858,1.4033,1.4021,1.366,1.3649
0,1.2588,1.2445,1.2417,1.2829,1.2524,1.2702,1.2717,1.2318,1.2324
-5,1.1247,1.1122,1.1095,1.151,1.1188,1.1372,1.1413,1.0976,1.0995
-10,0.9903,0.9796,0.9772,1.0188,0.985,1.0039,1.0105,0.9631,0.9665
-15,0.8543,0.8456,0.8434,0.8851,0.8499,0.869,0.8784,0.8271,0.8318
-20,0.7163,0.7095,0.7077,0.7493,0.7127,0.7322,0.7445,0.6887,0.6951
-25,0.576,0.5713,0.5697,0.6116,0.5734,0.5931,0.6084,0.5482,0.556
-30,0.4327,0.4305,0.4288,0.4705,0.431,0.451,0.4694,0.4046,0.4138
-35,0.286,0.2865,0.2843,0.3262,0.2853,0.3057,0.3273,0.2576,0.2681
-40,0.1352,0.139,0.1362,0.1781,0.135,0.1561,0.1811,0.1059,0.1189
